Goal,Specific,Measurable,Action-oriented,Relevant,Time-bound
Happy NewYearsEve whats your guys Mine is to prove you can do good cosplay cheep and start getting more social,0,0,0,1,0
is to go to the gym regularly but Im gonna wait a week or two for the other billion or so with the same one to give up,0,0,1,1,0
This is how Im living a connected life in ATTCrowd ad,0,0,0,1,0
MMT neilwatkins elledodd Im setting myself or at most goals for Yes but with indicators SDG,0,0,0,1,0
This will be MY year,0,0,0,1,0
get closer to the man above,0,0,0,1,0
Im gonna get rich and be a bitch,0,0,0,1,0
nomoredrunktexting,0,1,1,1,0
change peoples lives with Necco Wafers,0,0,0,1,0
To stop writing For sexual favors in the memo line of all my checks,1,1,1,1,0
Gonna do this in newyearsresolution,0,0,0,1,0
Eat French fries for breakfast every day in January,1,1,1,1,1
ochocinco I will tweet you everyday until you notice me,0,1,1,1,1
My is to call people back within hours and make more effort with friends,0,1,1,1,0
Keep a blog of all the amazing tacos I have while guac is in season,0,0,1,1,1
I hope to meet more of my internet friends in,0,0,1,1,0
Drink beer besides Yuengling,1,0,1,1,0
Bang a stripper,0,1,1,1,0
is to start writing again I need to get my ass back into gear thestruggle,0,0,1,1,0
Lets leave the words bae bruh thot and fleek in stupidwordsof,1,0,1,1,0
Burn as many bridges as possible literally and figuratively,0,0,0,1,0
tweet more about the Indians because I know all of my Chicago and MPLSbased followers crave it Youre welcome guys,0,0,1,1,0
My is that Im gonna start punching folks for saying dumb shit which means my hands will be tired around am nite,0,0,1,1,0
In this new year I promise not to let it be like the last newyearsresolution,0,0,0,1,0
Go to the gym more And burn it to the ground,0,0,1,1,0
This is my,0,0,0,1,0
Talk less Touch more TSA,0,0,1,1,0
Having to poop after a shower ltltltlt I refuse to let this happen in,1,1,1,1,1
Love better,0,0,0,1,0
no more starbucks starting tomorrow and until the summer too much money spent on vanilla lattes and lots of jiggly parts to burn off,1,1,1,1,1
Be more competitive,0,0,0,1,0
I must try harder,0,0,0,1,0
To not make a new years resolution That is all,1,0,1,1,0
If having eat more chipotle as a new years resolution is wrongthen I dont want to be right,0,0,0,1,0
Drink more wine in,0,0,1,1,0
My is to hope harder more often that someone punches NancyGraceHLN RachelNichols in the face Go fuck yourselves,0,0,0,1,0
My resolution is to treat as opportunities rather than a year newyearsresolution newyears,0,0,0,1,0
Ill care a little less next year,0,0,0,1,1
Im finally gonna write that fan fiction on Los Del Rio and capitalize on that Macarena craze,1,0,1,1,0
For I resolve to not get sucked out into the vacuum of space,0,0,0,1,0
For I resolve to continue my tradition of not losing any duels I have with former Vice President Aaron Burr,1,1,1,1,0
do everything it takes to meet taylor,0,0,0,1,0
Preparing for POTUS elections in the fall and gaining responsibilities FoxNews,0,0,0,1,1
My is to drink more,0,1,1,1,0
My is to watch what I eat My belly sitting on swole,0,0,1,1,0
Try not to bitch about my Christmas bonus every single day,0,1,1,1,0
Out with the old and in with the new,0,0,0,1,0
To learn how to play a completely new instrument probably the Cello,0,0,1,1,0
drink no soda until I lose 10 lbs,1,1,1,1,1
Be positive about every situation I step into,0,0,0,1,0
Get Money Grind Harder Stay Focused Work on a better attitude,0,0,0,1,0
When midnight hits Ill still be reading The Fellowship of the Ring Gonna finish all three Hobbit before Jan ends,1,1,1,1,1
returning to training full time and getting back into it in the new year,1,1,1,1,0
parksandrecnbc Avoid getting Jammed in calmedoctorhuey,0,0,0,1,0
My to be backstage for ONE of AdventureDub s performances Music LoveThisMoment,1,1,0,1,0
Be less of a bitch more of a cunt,0,0,0,1,0
gtMarkPavelich my wish is to be more like you in work hard live life have lots of fun Happy New Years NYE,0,0,0,1,0
Secure the apartment,0,1,1,1,0
More tweeting less paying attention to the road,0,0,1,1,0
Officially done with Trivia Crack as of today CrackRehab,0,1,0,1,0
on Jan Im really going to get in shape this year on Jan Im learning to love my body the way it is this year,0,0,0,1,1
My New Years resolution is to have a New Years resolution NewYearsEve resolutions ResolutionsFor NYE,0,0,0,1,0
Follow more foodies,0,1,1,1,0
My hands r itching me to send u New Years wishes but i promised my self I wont go there,0,0,1,1,0
My consider every tweet to be as profound as the person who tweeted it thinks it is ThisOneIncluded HappyNewYear,0,0,0,1,0
Number Get a DSLR camera to start new projects I need advice Which is best,1,1,1,1,0
Change the world,0,0,0,1,0
I can only hope that in life Ill make someone feel as special as a Godiva truffle makes me feel,0,0,0,1,0
to not have to listen to one more second of any Hozier song,1,1,1,1,0
My is to stop messing with hoes who play THEYSELF to be so faithful and loyal wrong try again,0,0,0,1,0
I find Calliou and beat him mercilessly,1,0,1,1,0
starts today and until the next ny Just joined Charter Fitness and I will go at least twice a week,1,1,1,1,1
My New Years resolution is to stop shopping at Walmart like an ahole,0,0,0,1,0
to not finish all seasons of Friends on Netflix before the end of January,1,1,1,1,1
Shave PilsburyJoeBoy legs,1,0,1,1,0
Making any New Years resolutions Yes I wont let the number of my vices increase NewYearsEve NewYear,0,1,0,1,0
more social support visit SoCal,0,0,1,1,0
Enjoy more things ,0,0,0,1,0
No new enemies Im already spending too much time plotting revenge as is,0,0,0,1,0
Smile more newyearsresolution,0,0,1,1,0
Throw back to when I had meat on my bones Ill get it back,0,0,0,1,0
Embrace God,0,0,0,1,0
learn guitar and start a YouTube channel or vine account Then work towards being a performer,0,0,1,1,0
Im not doing new year new me ima do new year better me Im going to stay the same but with some enhancements,0,0,0,1,0
To save my money and not blowing it on food,0,0,1,1,0
To help others achieve the same happiness that Ive found,0,0,0,1,0
to get a boyfriend and to get more attractive,0,0,0,1,0
parksandrecnbc Avoid getting Jammed in krneely JAMoore,0,0,0,1,0
start living in the moment instead of always worrying about the future,0,0,0,1,0
My is to stop trying to open doors by pressing the unlock button on my car remote,1,0,1,1,0
My is never to play another clicker game or any game with heavy timer mechanics Join me at Midnight,1,1,1,1,0
Promulgate the idea that whats wrong with the GOP is the GOP Establishment tcot RINOs mcconnelling boehnermustgo,0,0,0,1,0
expand my large lipstick collection even moreeeeee,0,1,0,1,0
Eat better exercise more spend lessyou know the usual sht HappyNewYear,0,0,0,1,0
parksandrecnbc Avoid getting Jammed in APWest rach,0,0,0,1,0
I wanna defeat the giant monkey man and save the th dimension before it is too late,0,0,1,1,1
Become more of an empath ,0,0,0,1,0
My is to appreciate my friends more Also to get friends,0,0,0,1,0
will be spent replacing all of the bad memories with good ones,0,0,0,1,0
new year new,0,0,0,1,0
My is HD,0,0,0,1,0
Goal for Sleep Sleep and never wake up,0,0,0,1,0
My is working on Spanish and French with help from duolingo for my summer vacation,0,0,1,1,1
My is to treat people the way they treat me NYE,0,0,0,1,0
My Watching every season of Friends Netflix GoalsFor,1,1,1,1,0
Crush more boys hearts,0,0,0,1,0
drink more Mountain Dew and eat more Five Guys,0,1,1,1,0
Maybe start dating maybe,0,0,0,1,0
Friend Im finished with white women thats my Me You said that last year Friend I mean it this year Me I hear ya,0,0,0,1,0
My is to gain weight RT if you agree,0,1,0,1,0
Attend the Temple A LOT,0,1,1,1,0
I going to try to reduce my caffeine and sugar intake in Drink coffee like a fiend,0,1,0,1,0
In I solemnly resolve to make sure I tell more people just where they can go to suck it NewYear fuckyou,0,0,1,1,0
Im really good at kissing people I dont have feelings for Stop doing that,0,0,1,1,0
Be Awesome HowIMetYourMother Hello,0,0,0,1,0
After this pack of cigs Im done,0,1,1,1,0
Seriously My is to make my Wife happier,0,0,0,1,0
Learn CSS,0,0,1,1,0
Celebrate life each day and chose positive resolutions not just just on NewYearsEve hello live out loud,0,0,0,1,0
I get to start reading my Chronological Bible tomorrow so thats what holds stoked Bible NewYear NewYearsEve,0,0,1,1,0
Just wanna be a better me in the new year,0,0,0,1,1
My is to get my career ready and focus on school,0,0,0,1,0
My new years resolution is to improve my focus and the rest will carry itself NYE,0,0,0,1,0
My is to finally watch Frozen while its still in theaters,0,0,1,1,1
less stress smile more ride like there is no tomorrow and never give up,0,0,0,1,0
Lets all take personal responsibility,0,0,0,1,0
take more pictures,0,1,1,1,0
Pretty much storyofmylife truestory lifestyle newyearsresolution newyearseve,0,0,0,1,0
move to Colombia,0,0,1,1,0
Be kind for everyone you meet are fighting a hard battle Plato quote thoughtsfor,0,0,0,1,0
Mearlonfox nashvillescoop Just flush it out with an extra liter of water,0,0,0,1,0
Consume more organic calories this year HappyNewYear,0,1,1,1,1
No more NikkiManaj in her underpants in,0,0,0,1,0
Accept that I cant be the same parent that my mom was I will make mistakes and thats okay,0,0,0,1,0
My figure out how to get my daughter to stop recording the Uverse Attention Channel,0,0,1,1,0
Talk to people at the bar your own age,0,1,1,1,0
Stop keeping quiet when something upsets me Im allowed to be upset and Im allowed to make that known,0,0,1,1,0
Stop being so available giving too people who NEVER did or gave me shit,0,0,1,1,0
Stop drunk tweeting,0,1,1,1,0
Everyones seems to be to work out more I already do a lot of that mine is to get more rest relaxation,0,0,1,1,0
I think my is gunna be to be using social media more Ppl think Ive fallen off the face off the earth,0,1,0,1,0
ItzAhmed Ima be a savage,0,0,0,1,0
Resolution One I will live for God Resolution Two If no one else does I still will Johnathan Edwards,0,0,0,1,0
newyearsresolution This fortune cookie,0,0,0,1,0
newyearsresolution vegan wellness juice detox My st wkshp thespringsla Revamp your diet and discover inner bliss,0,0,1,1,0
Be good to people Popularity fades kindness does not,0,0,0,1,0
A of less Facebook more Twitter Dont tell my FB friends,0,1,0,1,0
TangaRae I dont stay on top of my Twitter like I should NewYearsresolution,0,0,0,1,0
New Years resolution Make pregnancy discrimination in the workplace a thing of the past moms,0,0,0,1,0
tnoconnor SarahRamler UGH We need to find a better trivia location One with a dec time and rockin food,0,0,0,1,0
Id like to be a less grumpy commuter but I work in Times Square,0,0,0,1,0
Oh my was to get more attention Kelly Kapoor TheOffice,0,0,0,1,0
Can my be to read more books and play with a cat Its what I do every year anyway,0,0,1,1,0
Cant wait to release some new music in,0,1,1,1,0
my is to wake up every day and try not to hate my life lol,0,0,0,1,0
I thought everyone goes to the gym AFTER NewYear its my daily ritual that enables me to be healthy mind body soul,0,1,1,1,0
I normally dont make a but this year I vow to read agameofthrones Bought the book a few months ago Determined,0,1,1,1,0
is the year all my credit cards expire my is to trick all my banks into renewing them badcreditscore,0,0,1,1,0
is to not let my CrohnsDisease control my life anymore Im sick of giving myself shots in the stomach and being in pain,0,0,0,1,0
For I will use less socialmedia hahahaha,0,1,0,1,0
I need to tweet more in to get my followers up lol,0,1,1,1,0
Promise next year I wont eat any more sweets Oh look fruit salad NewYearsEve,0,1,1,1,0
Im ready for ya,0,0,0,1,0
Lets see how fat I can get NYE This tacobell app is really gonna come in handy,0,1,1,1,0
declared the year of challenges I will challenge my faith mind and body,0,0,0,1,0
My continue to live by my ix Values develop LiveitTeachit and successfully achieve ABDdissn approval lovelife,0,0,0,1,0
Leave the past in the past This should be done on NewYearsEve,0,0,0,1,0
New Years Resolution Mentor Justin Bieber letmehelpyou,0,0,0,1,0
Be as swift as the coursing river With all the force of a great typhoon,0,0,0,1,0
Must tone down selfpity level,0,0,0,1,0
Learn how to play the guitar,0,0,1,1,0
For my I will get more sneakers sneakers are important to figfit,0,0,1,1,0
saw Unbroken last night so my new is to marry Jack OConnell,0,0,1,1,0
Get Rich or Cry Trying,0,0,0,1,0
My to love beyond opinion orientation and comfort To love in Christs likeness,0,0,0,1,0
Resolution Learn bluegrass tunes and get out to some jams dobro,0,0,1,1,0
hate everyone oh look at a great start,0,0,0,1,0
USSportsmen to drop lbs Of deciduous meat with a single shot hunting nothin better than deer jerky,0,1,0,1,0
Completed my last workout of at the gym Ready for all the newbies of to come gymlife,0,0,0,1,0
stop eating so much actually try to lose weight focus on school save up money,0,0,1,1,0
My is to make this cold go away,0,0,0,1,0
My is to quit drinking Milk,0,0,1,1,0
I am titanium,0,0,0,1,0
My is to stick the budget we come up with and get rid of majority of our debt,0,1,1,1,0
To Live and be successful FamilyFirst IndieMusic,0,0,0,1,0
Plan for say No more where Id normally say Yes and viceversa,0,0,1,1,0
Fart in the elevator whenever riding with IT dudes newyearnewme,1,1,1,1,0
Setting the bar high for but I think I can do it,0,0,0,1,0
shooting for the stars will be the year,0,0,0,1,0
Give my instruments more attention,0,0,0,1,0
I ask for forgiveness from those I have hurt in the past And patience as I pursue happiness for myself focusisme,0,0,0,1,0
Stop eating over your laptop,1,0,1,1,0
My Start smoking and stop going to the gym,0,0,1,1,0
Reply all to every goddamn email,0,1,1,1,0
Team Rigells continuously improve our service to you your family Whats yours,0,0,0,1,0
Last Years Me with this years Money Im not changing shyt but my ways to getn more money NamTlknBout,0,0,0,1,0
continue to date hilariously out of my league so when it inevitably fails it doesnt hurt so bad,0,0,0,1,0
I will be posting a pic of JimHarbaugh on my cousins FB page everyday for the next year JustBecause,1,1,1,1,1
newyearsresolution Dont pass out on the train ride home tonight,1,1,1,1,1
Expect a lot more tweets from me this year included deleting facebook app from iphone virtualcleanup,0,0,0,1,0
To put as much passion into my life as my son puts into farting staring at the invisible man behind me,0,0,0,1,0
dont do it gradually dont say nah I know myself I wont follow through jump in with both feet and get after it,0,0,0,1,0
My one and only Run a marathon running,0,1,1,1,0
Our s eat more bacon watch more sports drink more beer Boomshakalaka,0,0,1,1,0
Take some time away from my professional work to interview my own parents RT oralhistreview Whats your oralhistory,0,0,1,1,0
dont change a fucking thing,0,0,0,1,0
Whats your plan for Mine is the triple our easyeMerge subscribers and I have a plan,1,0,1,1,0
I need to meet tylerfarr leebrice FrankieBallard,0,0,1,1,0
At last a resolution I can stick to Seamless Order more Seamless,0,0,1,1,0
My is to be less depressed Which in itself is very depressing Oh geeze here we go again,0,0,0,1,0
Envelopescom Im going to learn to crochet so I can donate blankets to needy families morehandwrittennotes,0,0,1,1,0
New Years Goal teach my cat how to make coffee,0,0,1,1,0
Im tryna stop drinking sodas D newyearsresolution,0,1,1,1,0
In I hope to not spend my money on pointless shit Probably gonna happen but its worth a shot,0,1,0,1,0
Make a to NOT drink and drive on NewYearsEve take a cab walk public trans designated driver,0,1,1,1,1
Finish my three ms and find an agent to sell them Promote my current book End of Normal more,0,1,1,1,0
My is i,0,0,0,1,0
Well there goes another year wo doing something productive NYE do something productive,0,0,0,1,0
My usual suspect aka lose ten pounds Ive lost the same pounds each year dont understand why it keeps coming back,1,1,1,1,0
A very happy prosperous New Year to all May God Bless us all NewYear godbless loseweight BeHappy,0,0,0,1,0
newyearsresolution I can hopefully achieve make less typos on Twitter,0,1,1,1,0
Live in TheNow a district in an alternate dimension Just gotta figure out where I left that vortex,0,0,0,1,0
worry less Whatever happens happens for a reason,0,0,0,1,0
Ive resolved to be a kinder more generous person in And not a moment before instapundit brianhund,0,0,0,1,0
My newyearsresolution is to plan meals way in advance instead of stressing about it every week adult,0,0,1,1,0
meet jimmyfallon,0,0,1,1,0
I will wear the same bikini in all my selfies,0,1,1,1,0
New Years Resolution I will not take more than one selfie a day NewYearNewMe,0,1,1,1,0
sacrifice more boys to the goddess Artemis,0,0,1,1,0
get a bad rap,0,0,0,1,0
Cariloha My is to do more good give back more pay it forward daily HashtagOfTheWeek Happy New Year to all,0,0,0,1,0
Lose lbs lbs is the name I gave the block of cheese in my fridge,0,1,1,1,0
was so horrible for me is to not make the same mistake and dont look back,0,0,0,1,0
Get Health Insurance,0,0,1,1,0
Ive already started working out months ago and doing well So my is to better my prayer life and other stufflol,0,0,1,1,0
Pack more heat,0,0,1,1,0
My is to actually be funny on Reddit and gain more karma than last year,0,1,1,1,0
This year Im going to focus more on school work and my weight,0,0,1,1,1
wear heels more often,0,1,1,1,0
My next is to take a summer vacation to Hilton Head Its been years since Ive been able to go to my fams own condo,0,0,1,1,1
Well its NewYearsEve and my is to complete the th grade and tomorrow im ready for,0,1,0,1,0
If I dont graduate from college in Im legally changing my name to Van Wilder,1,0,1,1,0
more cowbell,0,0,0,1,0
A of mine for is to learn how to code Any self taught coders with advice Ive heard good thi,0,0,1,1,0
Resolving to make my about doing more not less,0,0,0,1,0
First I want to better myself professionally even if it means stepping outside of my comfort zone,0,0,0,1,0
Im going to make the rest of my life the best of my life,0,0,0,1,0
get a man,0,1,0,1,0
Chocolate chip pancakes dieting NewYearNewMe fitness health,0,0,1,1,0
 stop arguing sports,0,0,1,1,0
Id like to do more heckling in,0,0,0,1,0
My resolution for is to find a cure for stupidity StupidPeople curestupidity,0,0,0,1,0
Why not make a that you will improve your relationship with your Creator,0,0,0,1,0
New year New friends New job,0,0,0,1,0
look my best,0,0,0,1,0
By the time Im ready too wear shorts ill be in the best shape of my life,0,0,0,1,1
Colleens shared in tweets Goal start saving to buy a home money becomingresponsible,0,1,1,1,0
exercise more and read more Considering I do neither of them they should be easy to keep,,,,1,
not about eating any less Reese cups or about walking into as a completely new person,,,,1,
My word for WELLth,,,,1,
From someones Pinterest livelifehappy,,,,1,
give unlimited chances,,,,1,
Cry Forgive Learn Move on Let ur water the seeds of ur future BerlinWall travel Peace,,,,1,
my this year is to actually start taking an initiative,,,,1,
positivity,,,,1,
My is to stop procrastinating Ill start it either next week or maybe the week after,,,,1,
Learn to use punctuation properly,,,,1,
business days ea month I will go to work wout my SOV car Transit Bicycles ColoradoSprings BabySteps,,,,1,
No more pop and not cutting my hair for certain reasons I cant reflect upon yet,,,,1,
If u smell like year old McDonalds left overs when u sweat YOU WEAR DEODORANT judgmental,,,,1,
Order one of everything from the tacobell menu eat it all during a Lord of the Rings marathon and have zero regrets,,,,1,
Last New Years I made a resolution to stop procrastinating Is it too late to accomplish that,,,,1,
drive german wear italian drink scotch kiss french,,,,1,
WordOfTheDay for me is Significance is to live with Significance and purpose Leadership legacy duffy,,,,1,
My is to stop making excuses To go out and get my dream To make more of this life than being a consumer then dying,,,,1,
Use my phone less This is gonna take loads of will power people,,,,1,
Be my best selfie,,,,1,
My New Years Resolution is to no longer make New Years resolutions,,,,1,
working on blog post I resolve to build healthy soil and other things I will do in,,,,1,
I have never ever been able to finish what I have started in my life That will all change in,,,,1,
My Run the GSVCommunities Marathon I just signed up today marathontraining runsolution,,,,1,
Instead of losing weight my NY resolution is to get taller I figure should do it loseweight,,,,1,
Invite KyeLong fishing in North Mississippi,,,,1,
NewyearsResolution No selfies no business no worthy opponents milliondollarbaby TransX Living On,,,,1,
Write more love harder eat less,,,,1,
Remembering that no woman is an island team building beginning w the vision that was gifted you emyth NewYea,,,,1,
Learn how to speak Spanish Lose more weight Start a new hobby Be a better person,,,,1,
A blessed is deciding to begin each morning with prayer remain centered in Christ each day,,,,1,
delsolcolor My is a fairly broad one To look my best every day hashtagoftheweek,,,,1,
Goal for days of Meditation At least minutes a day mindfulness,,,,1,
My last is to spend less time connected to my phone,,,,1,
But one thing I do forgetting what lies behind straining forward to what lies ahead Paul,,,,1,
My is to praise people who are following their passions and bold enough to overcome their fears and try something new,,,,1,
Do more for yourself this new year stop doing so much for those that dont appreciate it Thats the goal NewYears,,,,1,
Always give a little more than you promise quote quoteoftheday nofilter NYE newyearsresolution,,,,1,
Letting in positive action dynamic people improving upon constructive criticism doing it better HILOVERS HILOVERS,,,,1,
My be vegan life,,,,1,
I wont be making a Instead Ill do the same thing I do every day Be a better human than the one I was yesterday,,,,1,
Everyday waiting for your dreams to come true is a day lost Be the happiest you can be in So live your dreams,,,,1,
Less than hours before millions of people join the gym for a week NewYearsEve,,,,1,
Ending with a good workout NewBeginnings stayinghealthy,,,,1,
roccodispirito Drink more water and enjoy more healthier choices,,,,1,
Resolution I we will finally catch that elusive long river Musky bassprochevy,,,,1,
Write for minutes a day,,,,1,
Stay away from social media Ive been getting better at it this year No Need to always be looking at your phone,,,,1,
I resolve to never again consume pizza nachos and margaritas on the same day But damn it was worth it,,,,1,
no watch and finish the whole BreakingBadAMC series I know where have I been,,,,1,
Start going back to the gym Eat more hummus Laugh more Crack more witty comments,,,,1,
StayAwwsome Thats my not my Thats my ErrrdayResolution,,,,1,
New Years Resolution I will always wear a helmet and I will not crack any ribs snowboarding this year,,,,1,
Cut back on social me,,,,1,
So incredibly ready to be Healthy Happy uccessful Free in HILOVERS,,,,1,
To reimagine the idea of limitations,,,,1,
Next year Im gonna do the best and be the best that I can possibly be,,,,1,
Go forth and be epic,,,,1,
workhard ever min hour sec until I give everything I have to make it dreamer,,,,1,
I want to change this just in time to be a resolution I want to start giving my skin some attention just my face,,,,1,
So many new things I want to try in new places cosplays new fun NewYearsEve NewYear cosplay gamers nerds,,,,1,
Living in the now my Newyearsresolution for mondayblogs,,,,1,
to be a Catholic bishop,,,,1,
Learned a lot in going to use what Ive learned to be better in,,,,1,
My is not to spend the next one recovering from surgery partypooper pityparty,,,,1,
This is officially my last day to drink too much skip the gym and eat bad food In,,,,1,
not to scream Fuck the police Or kanjani hlangabezo,,,,1,
Stand firm on principle but do it with a listening ear respect understanding that it will not,,,,1,
To spend more quality time at home with my Netflix,,,,1,
Convince everyone matching pajamas are work appropriate newyearnewme,,,,1,
my finish my new book in time for the next holiday season and get back in shape for a better author photo,,,,1,
FOXphilly my I challenge BrianPHickey to a race around the world Winner gets a DVD copy of Mighty Ducks,,,,1,
damico My is to impregnate my girlfriend hipspanic LittleGarcia ummm no,,,,1,
dont let other people distract me from my goals,,,,1,
My is to plan for next year New Years resolution,,,,1,
stay focused,,,,1,
Math Get STs to talk write mathematically maths mathchat iaedchat,,,,1,
Look homeless more often newyearnewme,,,,1,
So I think my will be to learn to play that guitar jcbmar bought me nearly a decade ago Hey dbbyrkit lessons,,,,1,
Last workout of the year more gym time,,,,1,
Thinking about my to fully embrace my vision for the next phase of my life HILOVERS,,,,1,
take concrete steps to improve your life If you fail jump into a river while wearing those concrete shoes,,,,1,
be sports boy,,,,1,
My is to stop letting things upset me so easily I have a very short tolerance for stupidity BRTrend,,,,1,
My is to continue in school to finish my bachelors degree in business BRTrend Education is the key,,,,1,
goals to change my habits to mature and become a Christian adult,,,,1,
I just plan to be a better and more successful me in,,,,1,
My New Years resolution is to be more positive less sarcastic Like I wont screw that up right away Change,,,,1,
I have decided in I will NOT allow people to walk my walk simply because they can I am stronger now have to be,,,,1,
Take more Tylenol Complain less,,,,1,
No Invest more time in my hobbies,,,,1,
Im doing a little better this year newyorkcityrooftop newyearsresolution,,,,1,
My is to be more like Lloyd Braun,,,,1,
Go to a couple hockey games Preds,,,,1,
To quote the great Huey Lewis All I want from tomorrow is to get it better than today Climbing Jacobs Ladder for me,,,,1,
Eat healthier Exercise more Spend less money Only applies when I feel like it,,,,1,
RebelWilson my spend next NYE with you Finally a realistic goal MyFavoriteFunnyGirl,,,,1,
To end with Twitter followers,,,,1,
In Im just going to do what I want Theres no reason to be unhappy newyearsresolution,,,,1,
Pack extra underwear youneverknow,,,,1,
to not watch Frozen,,,,1,
this year Ill finally finish my degree and become a teachervery excited about that,,,,1,
My is to go to a Suns game FuelTheFire,,,,1,
First resolution for newyears will be somehow get CarrieUnderwoodsLegs on my body HappyNewYear,,,,1,
Lets make a as a society Learn to accept and respect transgender people for who they are LeelahAlcorn,,,,1,
With the NewYear right around the corner Ive got my Whats yours,,,,1,
Never will I settle for anything less than what I deserve,,,,1,
In resolving to practice yoga and French daily journal daily and spend responsibly in the new year,,,,1,
Resolutions I may actually achieve Gain at least five pounds exercise no more than once a week deepen debt,,,,1,
learn the difference between effect and affect Learn how to clone Nutella Buy a boat Preferably inflatable,,,,1,
Im going to lessen the number of times I sexually proposition dolphins,,,,1,
SeasonsMarket RIILsports FuelUpFridays Get off my butt and hit the gym slopes more Thx for gift card got it mon,,,,1,
LeanAndMean Whos with me,,,,1,
LeanAndMean Im starting this off GO AlphaAthletics,,,,1,
My New Years Resolution is to correct my auto correct so my text dont read so cupid,,,,1,
Can I pig out today to be healthy all next year Lol,,,,1,
Also start and sustain one of my podcast ideas Itll be a fun one,,,,1,
Make more shit Use Twitter less Code more,,,,1,
New Years Resolution Cook more hate on less NYR kgoals,,,,1,
My only is the last step that I have to take to finally chase my real goals,,,,1,
Stand firm on principle but do it with a listening ear respect understanding that it will not always be returned,,,,1,
Everyone needs to make a collective resolution to not walk text since my resolution is to not move out of the way,,,,1,
One is better time management with all things books,,,,1,
I have to stop cussing My kid already repeats sounds he hears Its just a matter of time before hes cussing me newyearsresolution,,,,1,
Happy New Year wednesdaywisdom NewYearsEve,,,,1,
Blog more Stay tuned for new content on Imponderabilia History Marketing MaterialCulture,,,,1,
to think about more people than just myself,,,,1,
Never give someone a chance to break my heart again,,,,1,
I kept my will be officially retiring from the NYR game Thank you all for the memories for and BITW,,,,1,
NOT to make any damn NewYearsResolutions,,,,1,
humblebrag official weight loss count pounds and the one that has stuck in my years,,,,1,
My is to make more money Thanks to ltapp that is possible,,,,1,
nicoleCBS Keeping things simple I promise to begin searching for all of my missing socks REWARDMissingSocks,,,,1,
Whats everyones Mine is to be more motivated Esp when it comes to things I dont want to do,,,,1,
I will try fit in better in Los Angeles so for the NewYear I will be wearing scarves listening to terrible music,,,,1,
Slowly rolling out of bed and feeling sore from yesterdays workout Who else is trying to get back on track for newyearsresolution,,,,1,
This year Im on it I promise u newyearsresolution,,,,1,
In case it wasnt clear before parents love your children unconditionally Period,,,,1,
its about time dont you think lol,,,,1,
My is not to make a New Years Resolution should be easy to keep right,,,,1,
New years resolution write more writerslife,,,,1,
This year I will take inspired action towards my dreams daily HappyNewYear NYE startnow,,,,1,
For my New Years resolution i want to become the best dancer i can be dancerprobs dancertweets,,,,1,
Just realized I made my sent book to publisher in December Pressures on to find a goal,,,,1,
exercise smile more I hate cats sacrifice a virgin to the dark lord to ensure a bountiful harvest,,,,1,
